,dataset,prefix,sampling,encoding,classifier,train_type,status
0,BPI11/f1/0-40_80-100,10,all_in_one,complex,multinomialNB,traditional,OK
1,BPI11/f1/0-60_80-100,10,all_in_one,complex,multinomialNB,traditional,OK
2,BPI11/f1/0-80_80-100,10,all_in_one,complex,multinomialNB,traditional,OK
3,BPI11/f1/40-60_80-100,10,all_in_one,complex,multinomialNB,incremental,OK
4,BPI11/f1/60-80_80-100,10,all_in_one,complex,multinomialNB,incremental,OK
5,BPI11/f1/0-40_80-100,10,all_in_one,simpleIndex,multinomialNB,traditional,OK
6,BPI11/f1/0-60_80-100,10,all_in_one,simpleIndex,multinomialNB,traditional,OK
7,BPI11/f1/0-80_80-100,10,all_in_one,simpleIndex,multinomialNB,traditional,OK
8,BPI11/f1/40-60_80-100,10,all_in_one,simpleIndex,multinomialNB,incremental,OK
9,BPI11/f1/60-80_80-100,10,all_in_one,simpleIndex,multinomialNB,incremental,OK
10,BPI11/f1/0-40_80-100,10,all_in_one,complex,SGDClassifier,traditional,OK
11,BPI11/f1/0-60_80-100,10,all_in_one,complex,SGDClassifier,traditional,OK
12,BPI11/f1/0-80_80-100,10,all_in_one,complex,SGDClassifier,traditional,OK
13,BPI11/f1/40-60_80-100,10,all_in_one,complex,SGDClassifier,incremental,OK
14,BPI11/f1/60-80_80-100,10,all_in_one,complex,SGDClassifier,incremental,OK
15,BPI11/f1/0-40_80-100,10,all_in_one,simpleIndex,SGDClassifier,traditional,OK
16,BPI11/f1/0-60_80-100,10,all_in_one,simpleIndex,SGDClassifier,traditional,OK
17,BPI11/f1/0-80_80-100,10,all_in_one,simpleIndex,SGDClassifier,traditional,OK
18,BPI11/f1/40-60_80-100,10,all_in_one,simpleIndex,SGDClassifier,incremental,OK
19,BPI11/f1/60-80_80-100,10,all_in_one,simpleIndex,SGDClassifier,incremental,OK
20,BPI11/f1/0-40_80-100,10,all_in_one,complex,perceptron,traditional,OK
21,BPI11/f1/0-60_80-100,10,all_in_one,complex,perceptron,traditional,OK
22,BPI11/f1/0-80_80-100,10,all_in_one,complex,perceptron,traditional,OK
23,BPI11/f1/40-60_80-100,10,all_in_one,complex,perceptron,incremental,OK
24,BPI11/f1/60-80_80-100,10,all_in_one,complex,perceptron,incremental,OK
25,BPI11/f1/0-40_80-100,10,all_in_one,simpleIndex,perceptron,traditional,OK
26,BPI11/f1/0-60_80-100,10,all_in_one,simpleIndex,perceptron,traditional,OK
27,BPI11/f1/0-80_80-100,10,all_in_one,simpleIndex,perceptron,traditional,OK
28,BPI11/f1/40-60_80-100,10,all_in_one,simpleIndex,perceptron,incremental,OK
